City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Port-Gentil,GA,80.6,light rain,-0.7193,8.7815,Fengshui Residence
294,Salinopolis,BR,79.25,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
295,Cairns,AU,78.8,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
297,Fare,PF,81.32,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
300,Lakes Entrance,AU,75.0,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
307,Bucerias,MX,80.6,few clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
309,Ayame,CI,75.58,broken clouds,5.6083,-3.1563,Hotel Bossan
313,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
319,Labuan,MY,75.2,few clouds,5.2767,115.2417,Tiara Labuan Hotel
320,Nabire,ID,77.34,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
321,Kathu,TH,82.0,few clouds,7.9178,98.3332,Novotel Phuket Resort
325,Yaritagua,VE,80.6,scattered clouds,10.08,-69.1261,Apartamento de Julian Cotillo
328,Caraballeda,VE,84.2,few clouds,10.6112,-66.8522,Hotel 15 Letras
330,Katiola,CI,82.4,clear sky,8.1333,-5.1,Kakoumani
335,Takoradi,GH,79.41,broken clouds,4.8845,-1.7554,Raybow International Hotel
338,Dhidhdhoo,MV,82.35,overcast clouds,6.8833,73.1,Dhidhoo beach
339,Betioky,MG,80.24,broken clouds,-23.7167,44.3833,Bungalows Acacias Hotel
340,Alyangula,AU,78.8,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
341,Kandrian,PG,81.82,overcast clouds,-6.2167,149.55,Kandrian Station
362,Itarema,BR,79.61,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
364,Touho,NC,77.72,light rain,-20.7833,165.2333,Auberge Timay Evasion
369,Tarakan,ID,76.6,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
373,Hambantota,LK,76.37,scattered clouds,6.1241,81.1185,Bungalow 63
374,Port Moresby,PG,75.2,scattered clouds,-9.4431,147.1797,Lamana Hotel
378,Harper,LR,78.64,clear sky,4.375,-7.7169,Screensaver
385,Oriximina,BR,77.72,light rain,-1.7656,-55.8661,Pousada Tia Amélia
391,Richards Bay,ZA,75.6,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
393,Kaberamaido,UG,75.04,overcast clouds,1.7389,33.1594,"Little Orchard, Kaberamaido"
395,Sorong,ID,79.09,broken clouds,-0.8833,131.25,The Waigo Hotel
396,Ulladulla,AU,75.99,clear sky,-35.35,150.4667,Sandpiper Motel
397,Nhulunbuy,AU,77.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
398,Cootamundra,AU,79.0,clear sky,-34.65,148.0333,Cootamundra Gardens Motel
405,Caravelas,BR,76.17,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
416,Oistins,BB,77.0,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
418,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
419,Jacqueville,CI,80.6,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
422,Bella Union,UY,80.87,overcast clouds,-30.2752,-57.6007,Hotel Oriente
433,Rio Grande,BR,75.99,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
448,Yulara,AU,84.2,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
449,Trairi,BR,78.93,broken clouds,-3.2778,-39.2689,janelas do mar
450,Barra,BR,82.26,scattered clouds,-11.0894,-43.1417,Motel Albatroz
451,Honiara,SB,81.09,overcast clouds,-9.4333,159.95,Heritage Park Hotel
465,Ampanihy,MG,80.62,broken clouds,-24.7,44.75,Angora Hotel
466,Cilegon,ID,77.0,mist,-6.0174,106.0538,Forbis Hotel
467,Ponnani,IN,78.8,mist,10.767000000000001,75.9252,Rouba Residency
473,Comodoro Rivadavia,AR,89.6,clear sky,-45.8667,-67.5,Austral Hotel
474,Luanda,AO,77.0,few clouds,-8.8368,13.2343,EPIC SANA Luanda
479,Barra Do Garcas,BR,75.22,light rain,-15.89,-52.2567,Hotel Pousada Tropical
480,Angoche,MZ,77.22,light rain,-16.2325,39.9086,Guest House HESADA
481,Springbok,ZA,77.27,scattered clouds,-29.6643,17.8865,Undulata Country Lodge
485,Boyolangu,ID,75.04,overcast clouds,-8.1181,111.8935,Yos ega cv
488,Srandakan,ID,78.21,overcast clouds,-7.9386,110.2506,Puri Brata
494,Leeton,AU,82.0,clear sky,-34.5667,146.4,Historic Hydro Motor Inn
495,Luwuk,ID,77.45,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
497,Olinda,BR,78.8,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
498,Moerai,PF,80.78,clear sky,-22.4333,-151.3333,Le Manotel
499,Kavieng,PG,82.36,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
500,Salina Cruz,MX,89.02,clear sky,16.1667,-95.2,Amerik HOTEL
502,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
503,Moroni,KM,81.43,broken clouds,-11.7022,43.2551,Hotel les Arcades
507,Remedios,CU,75.2,few clouds,22.4947,-79.5458,Hostal Yunai
510,Port Hedland,AU,84.2,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
511,Saint-Pierre,RE,82.4,light rain,-21.3393,55.4781,Lindsey Hôtel
518,Boa Vista,BR,87.8,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
524,Yeppoon,AU,78.8,scattered clouds,-23.1333,150.7333,Villa Mar Colina
531,Auki,SB,82.6,broken clouds,-8.7676,160.7034,Auki Motel
532,Los Naranjos,HN,82.4,light rain,14.9,-88.05,"La Estancia, Camping y Senderismo"
534,Alice Springs,AU,86.0,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
545,Road Town,VG,78.8,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
547,Ende,ID,78.8,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
550,Cucutilla,CO,82.4,light rain,7.5394,-72.7724,hotel don fidel
552,Sinnamary,GF,76.68,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
561,Puerto Leguizamo,CO,80.87,clear sky,-0.1934,-74.7819,la casona de juancho
562,Mahanoro,MG,78.71,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
567,Meulaboh,ID,75.29,overcast clouds,4.1363,96.1285,Kost Pria
570,El Cairo,CO,77.0,scattered clouds,4.7591,-76.2223,Posada Villa Salomé
571,Hervey Bay,AU,75.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
574,Paracuru,BR,81.0,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
583,Santa Cruz,BO,87.8,few clouds,-17.8,-63.1667,Hotel Cortez
587,Ahuimanu,US,82.4,broken clouds,21.4447,-157.8378,Paradise Bay Resort
589,Atambua,ID,77.05,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
